fid,Merged,xcoord,ycoord
"725",29,-0.0366666666666667,51.4325
"726",30,-0.0361111111111112,51.4325
"727",32,-0.0355555555555556,51.4325
"728",32,-0.035,51.4325
"729",31,-0.0344444444444445,51.4325
"730",32,-0.033888888888889,51.4325
"731",31,-0.0333333333333333,51.4325
"732",27,-0.0327777777777778,51.4325
"733",24,-0.0322222222222223,51.4325
"734",24,-0.0316666666666667,51.4325
"735",24,-0.0311111111111112,51.4325
"736",22,-0.0305555555555556,51.4325
"737",21,-0.03,51.4325
"738",21,-0.0294444444444445,51.4325
"739",22,-0.028888888888889,51.4325
"740",23,-0.0283333333333334,51.4325
"741",22,-0.0277777777777778,51.4325
